id	left	target	right	lemma
dip/noun/algemeen_dagblad_20040226_25/12	De Nederlandse economie lijkt zich te herstellen van de	dip	van vorig jaar . Maar zet de groei wel door ? Rotterdam-Om maar meteen met de deur in huis te	dip
inzinking/noun/het_laatste_nieuws_20000225_01_597/56	op negen lijkt Red Star Haasdonk in een zetel naar de eindronde te loodsen . En als Meldert plots een	inzinking	zou krijgen , valt misschien nog een ander appeltje uit de kast . Maar dat droomscenario heeft de Wase vice-leider	inzinking
inzinking/noun/nrc_handelsblad_20001011_72/31	van Boris Jeltsin . De ex-president geeft veel toe , maar stapt af en toe ook makkelijk over zijn diepste	inzinkingen	heen . Dat de Siberiër Boris Jeltsin zijn jaren in het Kremlin heeft ervaren als een beproeving spreekt al uit	inzinking
inzinking/noun/de_standaard_19990929_01_15/2712	rock-voordracht boven , waarna Divine Comedy Jones in een crooner-hoekje meetrekt . Zeventien songs op deze plaat , met ferme	inzinkingen	( \" Sunny Afternoon \" ) , zelfs een moment waarop de grap ernst wordt ( met Van Morrison )	inzinking
inzinking/noun/het_laatste_nieuws_19990125_01_351/207	konden bijpoetsen.Toen Antwerpen direct na de rust ( 36-28 ) weer die traditionele maar daarom niet minder vreemde vijf minuten	inzinking	had gehad , dreigde Sunair bij 40-37 . Maar dat was het dan ook langs Oostendse kant . Nadien was	inzinking
inzinking/noun/parool_20010428_80/513	. En dat ik daar niet goed tegen kan , of weet ik veel wat . Dat ik dan een	inzinking	krijg . Met voetbal heeft het niet veel te maken . \" Ook aan het begin van dit seizoen had	inzinking
dip/noun/algemeen_dagblad_19990114_108/249	meer op een tennisbal dan op een ei \" , stelde een handelaar gisteren . \" Hij zal na een	dip	altijd weer terugstuiteren . \" Internetfonds Yahoo ! stuiterde als gevolg van de florissante vierde kwartaalcijfers inderdaad terug na een	dip
dip/noun/algemeen_dagblad_20000405_96/64	van de halfgeleiderindustrie in de tweede helft van 1999 kwam er een eind aan ` de langste en meest ernstige	dip	in de geschiedenis ' .	dip
dip/noun/het_laatste_nieuws_20020626_01_405/595	Luk Alloo op tv zag . Ik was verbaasd hoe sterk hij was . Dat hij deze periode zonder mentale	dip	zou doorkomen had ik nooit geloofd . andquot; Nu moet er worden gepraat , met Vandenbroucke en zijn manager De	dip
inzinking/noun/algemeen_dagblad_20030722_23/118	in Parijs-Nice en met wie hij lief en leed deelde . Maar Vinokourov beleefde al klimmend op de Tourmalet de	inzinking	die hij vooraf zo vreesde . \" Ik had niet verwacht dat mij dit zou overkomen \" , zei hij	inzinking
dip/noun/volkskrant_20010914_116/442	De vraag is : koop je volgende week alsnog die auto ? ' Fortis denkt dat het consumentenvertrouwen na een	dip	snel zal opveren . Als kleine open economie is Nederland afhankelijk van de Amerikaanse economie , maar lang niet zo	dip
inzinking/noun/het_laatste_nieuws_20030217_01_418/77	voor eigen publiek te winnen . Op de 31ste speeldag komt Sint-Truiden nog naar Olympia , maar behoudens een spectaculaire	inzinking	heeft Club tegen dan wellicht al zijn twaalfde landstitel gevierd . andquot; Ik geloof inderdaad niet dat we nog vijf	inzinking
dip/noun/het_nieuwsblad_20021212_01_491/187	zich richtten naar hogereschoolstudenten . Vandaag nog drie : Ambiorix , Coolcat en wij . Toch is de Eiermarkt zijn	dip	te boven . \" Dat de Brugse studentenclubs Brihos ( onderdeel van de Hogeschool West-Vlaanderen afdeling Simon Stevin ) en	dip
inzinking/noun/de_standaard_20001120_01_98/210	en toe laat Landis de touwtjes wat te los , met flauwe grappen als gevolg . Maar na die korte	inzinkingen	herneemt het filmritme opnieuw zijn gewone vaart . De hoofdrolspelers kwijten zich uitstekend van hun taak , net als Jamie	inzinking
inzinking/noun/de_morgen_20020926_01_61/237	er begin volgende week voor dat de kans op neerslag weer toeneemt . Waarschijnlijk gaat het maar om een kortstondige	inzinking	. Vanaf midden volgende week staat het weer opnieuw onder invloed van een hogedrukgebied zijn we vertrokken voor enkele dagen	inzinking
